displacement force strain
0.0 0.0 0.0
0.0 0.0 0.0
0.0 0.0 0.0
0.0 0.0 0.0
0.0 0.0 0.0
0.0 0.0 0.0
0.0 0.0 0.0
0.0 0.0 0.0
0.0 0.0 0.0
0.0 0.0 0.0
0.0 0.0 0.0
0.0 0.0 0.0
0.0 0.0 0.0
0.0 0.0 0.0
0.0 0.0 0.0
-0.017 0.001 0.667
-0.017 -0.011 0.667
-0.017 -0.007 1.338
-0.017 0.017 0.667
-0.017 0.011 0.667
-0.017 0.041 -0.671
-0.017 0.046 -0.671
-0.017 0.027 -0.671
-0.017 0.038 -1.343
-0.017 0.036 0.0
-0.017 0.041 -0.671
-0.017 0.02 0.667
-0.017 0.017 0.667
-0.017 0.032 -0.671
-0.017 0.023 0.667
-0.017 0.041 0.0
-0.017 0.035 2.014
-0.017 0.032 0.0
-0.017 0.044 0.667
-0.017 0.32 16.767
-0.017 0.359 15.424
-0.017 0.332 16.091
-0.017 0.341 16.767
-0.017 0.34 34.872
-0.017 1.42 54.32
-0.017 1.65 80.473
0.066 1.978 93.221
0.066 2.41 110.655
0.066 2.609 127.417
0.132 3.041 143.508
0.132 3.404 159.613
0.132 3.785 174.365
0.132 4.072 191.799
0.215 4.435 206.561
0.215 4.82 223.324
0.215 5.192 237.41
0.215 5.457 254.838
0.298 5.831 270.263
0.281 6.207 281.663
0.298 6.532 299.773
0.364 6.965 316.535
0.364 7.204 335.316
0.364 7.58 347.383
0.364 7.936 363.488
0.447 8.285 377.569
0.447 8.561 395.675
0.447 8.924 407.07
0.513 9.319 425.851
0.496 9.646 439.266
0.513 10.051 458.719
0.513 10.317 468.776
0.579 10.586 487.548
0.579 11.032 504.32
0.579 11.422 519.744
0.646 11.656 533.82
0.662 12.071 548.582
0.662 12.415 564.007
0.662 12.785 578.759
0.745 13.208 595.526
0.745 13.435 612.293
0.745 13.824 627.717
0.811 14.189 643.141
0.811 14.585 660.575
0.811 14.931 673.99
0.811 15.175 692.771
0.877 15.593 707.524
0.877 15.982 724.957
0.877 16.374 742.391
0.943 16.744 756.477
0.96 17.002 774.587
0.96 17.394 792.687
0.96 17.839 810.797
1.026 18.289 828.231
1.026 18.567 847.012
1.026 19.024 863.774
1.042 19.453 881.884
1.109 19.886 901.332
1.109 20.336 920.114
1.109 20.623 936.885
1.175 21.056 955.657
1.175 21.485 972.419
1.175 21.952 990.529
1.175 22.268 1010.649
1.258 22.633 1030.097
1.258 23.13 1049.55
1.258 23.495 1070.336
1.291 24.03 1088.446
1.324 24.344 1108.565
1.324 24.78 1125.999
1.324 25.181 1146.785
1.407 25.675 1164.219
1.407 25.955 1182.328
1.407 26.393 1201.781
1.456 26.839 1217.872
1.473 27.269 1240.011
1.473 27.549 1255.435
1.473 27.977 1276.892
1.539 28.316 1292.321
1.539 24.529 1121.303
1.539 25.948 1176.295
1.556 26.819 1231.958
1.622 27.912 1278.24
1.622 28.927 1319.145
1.622 29.38 1337.246
1.688 29.761 1355.356
1.688 30.272 1376.818
1.688 30.779 1398.952
1.704 31.339 1423.09
1.771 31.842 1442.591
1.771 32.137 1464.672
1.771 32.633 1482.106
1.853 33.1 1504.24
1.853 33.575 1521.002
1.837 31.484 1453.939
1.853 32.818 1502.897
1.92 33.884 1546.488
1.92 34.385 1561.912
1.92 34.996 1588.741
2.002 35.531 1610.199
2.002 35.909 1633.676
2.002 36.415 1657.143
2.002 36.938 1679.276
2.069 36.524 1616.237
2.069 36.739 1671.229
2.069 37.505 1708.787
2.135 38.006 1728.23
2.151 38.608 1755.059
2.151 39.143 1777.188
2.135 39.542 1799.993
2.217 40.129 1822.789
2.217 40.63 1845.594
2.217 41.095 1866.385
2.234 41.496 1890.528
2.3 42.037 1821.451
2.3 40.99 1874.428
2.3 42.073 1913.324
2.383 42.932 1947.529
2.383 43.367 1977.035
2.366 43.983 2005.878
2.366 44.665 2031.36
2.449 45.285 1983.078
2.449 44.358 2033.369
2.449 45.385 2070.26
2.515 44.983 2053.555
2.515 45.884 2085.013
2.532 46.531 2117.199
2.532 46.891 2151.405
2.598 47.617 2173.534
2.598 48.235 2198.344
2.598 48.812 2223.159
2.681 49.345 2245.964
2.681 49.697 2270.779
2.681 49.157 2208.406
2.681 49.349 2257.364
2.747 50.379 2305.651
2.747 50.98 2323.761
2.747 51.338 2354.609
2.78 51.946 2386.129
2.829 52.547 2411.61
2.829 53.155 2439.773
2.829 53.45 2388.805
2.896 52.725 2439.773
2.896 53.813 2480.688
2.896 54.299 2505.493
2.896 54.698 2537.022
2.962 55.307 2569.875
2.962 55.857 2600.723
2.962 56.448 2632.253
3.045 56.903 2666.453
3.045 57.329 2622.191
3.045 56.551 2671.149
3.045 57.536 2718.092
3.128 58.363 2754.312
3.128 58.373 2789.18
3.111 58.913 2827.404
3.16 59.476 2874.348
3.194 59.918 2919.949
3.194 60.32 2967.569
3.194 60.758 3017.865
3.26 61.211 2987.022
3.26 60.415 3040.004
3.276 61.442 3098.343
3.26 61.834 3161.387
3.343 62.004 3202.964
3.343 62.527 3259.294
3.343 62.873 3317.643
3.409 63.14 3392.754
3.426 63.581 3465.855
3.426 63.965 3541.637
3.426 64.306 3614.063
3.491 64.63 3693.198
3.491 64.822 3770.318
3.491 65.073 3852.144
3.558 65.423 3931.269
3.574 65.548 4001.028
3.574 65.717 4069.424
3.574 66.049 4165.326
3.64 66.343 4251.837
3.64 66.579 4341.711
3.64 66.876 4447.67
3.657 67.003 4549.605
3.723 67.163 4642.145
3.723 67.375 4738.057
3.723 67.543 4839.321
3.789 67.708 4941.923
3.789 67.891 5050.568
3.789 68.063 5142.45
3.822 68.243 5180.004
3.872 67.652 5232.986
3.872 68.117 5302.725
3.856 68.416 5387.232
3.938 68.602 5482.462
3.938 68.762 5587.074
3.938 68.855 5705.114
3.938 68.957 5817.107
4.021 69.064 5939.838
4.021 69.203 6058.54
4.021 69.337 6185.957
4.071 69.434 6292.588
4.087 69.514 6425.548
4.087 69.66 6554.812
4.087 69.823 6679.543
4.17 69.901 6798.926
4.17 69.928 6877.385
4.17 69.779 6961.887
4.236 70.076 7065.16
4.236 70.098 7202.644
4.236 70.208 7320.008
4.253 70.264 7464.202
4.319 70.293 7596.309
4.319 70.441 7739.821
4.319 70.492 7872.61
4.336 67.72 7769.336
4.385 68.942 7839.757
4.385 69.998 7909.496
4.385 70.459 8003.384
4.468 70.694 8132.148
4.468 70.799 8264.932
4.468 70.828 8423.873
4.501 70.882 8576.114
4.534 70.948 8739.746
4.534 70.987 8892.654
4.534 71.047 9056.286
4.617 71.142 9234.675
4.617 71.157 9403.679
4.617 71.162 9565.301
4.617 71.261 9739.0
4.683 71.378 9909.341
4.7 71.32 10077.668
4.683 71.398 10256.724
4.733 70.78 10352.636
4.766 71.32 10461.271
4.766 71.488 10628.936
4.766 71.58 10780.497
4.849 71.6 10969.619
4.832 71.595 11143.985
4.849 71.665 11330.422
4.849 71.726 11510.154
4.915 71.738 11692.562
4.915 71.838 11888.395
4.915 71.768 12078.175
4.981 71.872 12287.417
4.981 71.911 12486.597
4.997 71.855 12686.444
4.997 72.001 12878.919
5.064 71.935 13084.809
5.064 72.028 13296.061
5.064 72.113 13514.685
5.13 72.142 13704.474
5.13 72.033 13880.854
5.13 72.208 14079.363
5.13 72.142 14287.933
5.213 72.262 14515.276
5.213 72.176 14709.761
5.213 72.281 14942.456
5.278 72.293 15159.084
5.278 72.293 15382.412
5.278 72.293 15593.645
5.278 72.32 15828.378
5.362 72.366 16043.664
5.362 72.454 16257.592
5.362 72.425 16498.349
5.378 72.442 16728.377
5.428 72.473 16929.562
5.428 72.544 17170.991
5.428 72.471 17399.015
5.511 72.559 17625.695
5.511 72.617 17840.962
5.511 72.561 18087.767
5.511 72.598 18319.133
5.576 72.578 18551.171
5.576 72.566 18777.852
5.576 72.722 19038.057
5.643 72.639 19247.966
