Section,m/L,h,b,tw,tf,r,d,cw / tw,cf/tf,C,N,n,As/L,As/m,Iyy,Izz,rgyy,rgzz,Syy,Szz,Wyy,Wzz,U,X,Iw,IT,A
Section designation,Mass per metre,Depth of section,Width of section,Thickness Web,Thickness Flange,Root radius,Depth between fillets,Ratios for local buckling - Web,Ratios for local buckling - Flange,End clearance,Notch N,Notch n,Surface area - Per metre,Surface area - Per tonne,Second moment of area: Axis y-y,Second moment of area: Axis z-z,Radius of gyration: Axis y-y,Radius of gyration: Axis z-z,Elastic modulus: Axis y-y,Elastic modulus: Axis z-z,Plastic modulus: Axis y-y,Plastic modulus: Axis z-z,Buckling parameter,Torsional index,Warping constant,Torsional constant,Area of section
N/A,kg/m,mm,mm,mm,mm,mm,mm,N/A,N/A,mm,mm,mm,m2,m2,cm4,cm4,cm,cm,cm3,cm3,cm3,cm3,N/A,N/A,Iw [dm6],IT [cm4],A [cm2]
356x406x1299,1299,600,476,100,140,15.4,290,2.9,1.23,52,198,156,2.88,2.22,755000,254000,21.4,12.4,25200,10700,33200,16700,0.846,3.42,133.1,94500,1655
356x406x1202,1202,580,471,95,130,15.4,290,3.05,1.33,50,198,146,2.83,2.35,664000,229000,20.8,12.2,22900,9710,30000,15200,0.842,3.59,114.6,76300,1531
356x406x1086,1086,569,454,78,125,15,290,3.72,1.38,41,198,140,2.77,2.55,596000,196000,20.7,11.9,20900,8640,27200,13400,0.852,3.79,96.1,60500,1386
356x406x990,990,550,448,71.9,115,15,290,4.03,1.5,38,200,130,2.72,2.75,519000,173000,20.3,11.7,18900,7740,24300,12000,0.851,4.02,81.5,46900,1262
356x406x900,900,531,442,65.9,106,15,290,4.4,1.63,35,200,122,2.67,2.97,450000,153000,19.8,11.6,17000,6940,21600,10700,0.849,4.26,68.9,36400,1149
356x406x818,818,514,437,60.5,97,15,290,4.79,1.79,32,200,112,2.63,3.22,392000,136000,19.4,11.4,15300,6200,19300,9560,0.847,4.55,58.6,27800,1043
356x406x744,744,498,432,55.6,88.9,15,290,5.22,1.95,30,200,104,2.59,3.48,342000,120000,19,11.3,13700,5550,17200,8550,0.845,4.86,50,21400,948
356x406x677,677,483,428,51.2,81.5,15,290,5.66,2.13,28,200,98,2.55,3.77,300000,107000,18.6,11.1,12400,4990,15400,7680,0.844,5.19,42.9,16400,863
356x406x634,633.9,474.6,424,47.6,77,15.2,290.2,6.1,2.25,26,200,94,2.52,3.98,275000,98100,18.4,11,11600,4630,14200,7110,0.842,5.46,38.8,13700,808
356x406x592,592,465,421,45,72.3,15,290,6.44,2.39,25,198,88,2.5,4.22,250000,90200,18.2,10.9,10800,4280,13100,6570,0.843,5.72,34.7,11400,755
356x406x551,551,455.6,418.5,42.1,67.5,15.2,290.2,6.89,2.56,23,200,84,2.48,4.49,227000,82700,18,10.9,9960,3950,12100,6060,0.842,6.05,31.1,9240,702
356x406x509,509,446,416,39.1,62.7,15,290,7.42,2.77,22,200,78,2.45,4.81,204000,75400,17.8,10.8,9170,3620,11000,5550,0.84,6.42,27.6,7390,649
356x406x467,467,436.6,412.2,35.8,58,15.2,290.2,8.11,2.98,20,200,74,2.42,5.18,183000,67800,17.5,10.7,8380,3290,10000,5030,0.839,6.85,24.3,5810,595
356x406x393,393,419,407,30.6,49.2,15.2,290.2,9.48,3.52,17,200,66,2.38,6.06,147000,55400,17.1,10.5,7000,2720,8220,4150,0.837,7.85,18.9,3550,501
356x406x340,339.9,406.4,403,26.6,42.9,15.2,290.2,10.9,4.03,15,200,60,2.35,6.91,123000,46900,16.8,10.4,6030,2330,7000,3540,0.836,8.85,15.5,2340,433
356x406x287,287.1,393.6,399,22.6,36.5,15.2,290.2,12.8,4.74,13,200,52,2.31,8.05,99900,38700,16.5,10.3,5070,1940,5810,2950,0.835,10.2,12.3,1440,366
356x406x235,235.1,381,394.8,18.4,30.2,15.2,290.2,15.8,5.73,11,200,46,2.28,9.7,79100,31000,16.3,10.2,4150,1570,4690,2380,0.835,12,9.54,812,299
356x368x202,201.9,374.6,374.7,16.5,27,15.2,290.2,17.6,6.07,10,190,44,2.19,10.8,66300,23700,16.1,9.6,3540,1260,3970,1920,0.844,13.3,7.16,558,257
356x368x177,177,368.2,372.6,14.4,23.8,15.2,290.2,20.2,6.89,9,190,40,2.17,12.3,57100,20500,15.9,9.54,3100,1100,3460,1670,0.843,15,6.09,381,226
356x368x153,152.9,362,370.5,12.3,20.7,15.2,290.2,23.6,7.92,8,190,36,2.16,14.1,48600,17600,15.8,9.49,2680,948,2960,1430,0.843,17,5.11,251,195
356x368x129,129,355.6,368.6,10.4,17.5,15.2,290.2,27.9,9.37,7,190,34,2.14,16.6,40200,14600,15.6,9.43,2260,793,2480,1200,0.845,19.8,4.18,153,164
