Element,Node,Fx[N],Mx[N.m],My[N.m],Mz[N.m]
1,1,1.38E+03,13.0369,6.55E+03,-5.51677
1,3,1.38E+03,13.0369,2.23E+03,3.35182
2,3,1.00E+03,2.79267,-9.39E+03,3.35042
2,4,1.00E+03,2.79267,-1.25E+04,-0.214014
3,4,741.937,4.35304,-2.08E+04,-0.213996
3,5,741.937,4.35304,-2.29E+04,0.343207
4,5,562.699,2.01846,-2.80E+04,0.342942
4,2,562.699,2.01846,-2.91E+04,0.731662
5,2,24.4827,-2.4195,-1.15E+04,0.715495
5,11,24.4827,-2.4195,-1.52E+04,-0.26051
6,11,179.639,-0.696032,-2.94E+04,-0.25955
6,12,179.639,-0.696032,-3.02E+04,-0.263613
7,12,221.942,1.33017,-2.10E+04,-0.263698
7,13,221.942,1.33017,-1.75E+04,-0.218117
8,13,117.363,1.12978,9.09E+03,-0.219163
8,10,117.363,1.12978,1.35E+04,0.740247
9,10,745.551,-0.288039,-5.64E+04,0.0466297
9,19,745.551,-0.288039,-5.52E+04,0.0595033
10,19,965.943,8.50E-03,-4.58E+04,0.0595393
10,20,965.943,8.50E-03,-4.33E+04,0.0212802
11,20,1.29E+03,-1.07246,-2.76E+04,0.0212939
11,21,1.29E+03,-1.07246,-2.40E+04,0.410356
12,21,1.76E+03,-0.0420394,1.30E+03,0.410625
12,18,1.76E+03,-0.0420394,7.24E+03,-0.434617
13,18,448.028,0.85362,1.93E+04,-6.23622
13,26,448.028,0.85362,9.50E+03,3.68865
14,26,2.89587,-1.81186,-1.60E+04,3.68616
14,27,2.89587,-1.81186,-2.16E+04,-1.16784
15,27,57.0657,-1.96551,-2.73E+04,-1.1675
15,28,57.0657,-1.96551,-2.60E+04,2.99294
16,28,626.509,-5.13131,-1.06E+04,2.99536
16,1,626.509,-5.13131,-3.78E+03,-5.51407
33,2,454.117,6.5883,-2.75E+04,0.0159796
33,43,454.117,6.5883,-2.48E+04,0.906031
34,43,412.191,3.73863,-1.64E+04,0.905963
34,44,412.191,3.73863,-1.26E+04,-0.21323
35,44,439.562,4.7835,-939.636,-0.213557
35,45,439.562,4.7835,3.88E+03,7.51093
36,45,562.916,-4.10884,1.89E+04,7.51317
36,42,562.916,-4.10884,2.48E+04,-16.6626
37,42,769.28,-0.225116,-8.91E+03,0.264709
37,51,769.28,-0.225116,-1.59E+04,-0.105626
38,51,296.53,0.0917775,-3.97E+04,-0.105304
38,52,296.53,0.0917775,-4.05E+04,-0.0289389
39,52,235.811,0.349431,-3.10E+04,-0.0289369
39,53,235.811,0.349431,-2.69E+04,-0.0826516
40,53,243.953,0.302525,1.86E+04,-0.0828823
40,50,243.953,0.302525,2.91E+04,0.202302
41,10,602.348,-0.410671,-5.19E+04,-0.0592016
41,58,602.348,-0.410671,-4.89E+04,-0.0684385
42,58,511.776,-0.569279,-3.01E+04,-0.0684967
42,59,511.776,-0.569279,-2.56E+04,0.0216044
43,59,446.985,0.671581,518.186,0.0216173
43,60,446.985,0.671581,6.30E+03,-0.74966
44,60,401.145,-0.581791,4.30E+04,-0.750148
44,50,401.145,-0.581791,5.13E+04,1.64243
61,42,622.323,5.28873,2.58E+04,-16.9276
61,75,622.323,5.28873,2.06E+04,7.52192
62,75,427.388,-3.29065,7.34E+03,7.51954
62,76,427.388,-3.29065,3.20E+03,-0.179078
63,76,324.734,-1.50788,-6.82E+03,-0.178828
63,77,324.734,-1.50788,-9.96E+03,0.931598
64,77,280.346,-3.53753,-1.70E+04,0.931477
64,74,280.346,-3.53753,-1.90E+04,0.490264
65,74,6.26023,-4.74E-12,-1.34E+04,6.92E-14
65,83,6.26023,-4.74E-12,-1.75E+04,-1.85E-13
66,83,104.015,-4.45E-12,-3.34E+04,-1.86E-13
66,84,104.015,-4.45E-12,-3.41E+04,-9.54E-14
67,84,170.529,8.43E-13,-2.32E+04,-9.44E-14
67,85,170.529,8.43E-13,-1.92E+04,-1.30E-13
68,85,169.466,4.09E-12,1.08E+04,-1.31E-13
68,82,169.466,4.09E-12,1.58E+04,4.98E-13
69,50,434.625,-0.296255,5.24E+04,1.63976
69,90,434.625,-0.296255,4.50E+04,-0.749291
70,90,412.47,-1.46659,1.23E+04,-0.748801
70,91,412.47,-1.46659,7.26E+03,0.0211132
71,91,401.5,-0.105341,-1.50E+04,0.0211061
71,92,401.5,-0.105341,-1.88E+04,-0.0705194
72,92,395.325,-0.108372,-3.39E+04,-0.0704588
72,82,395.325,-0.108372,-3.61E+04,-0.0540902
89,74,280.346,3.53753,-1.90E+04,0.490264
89,107,280.346,3.53753,-1.70E+04,0.931477
90,107,324.734,1.50788,-9.96E+03,0.931598
90,108,324.734,1.50788,-6.82E+03,-0.178828
