Element,Node,Fx[N],My[N.m],Mz[N.m]
1,1.00E+00,5.91E+02,2.80E+03,-2.3668
1,3.00E+00,5.91E+02,1.00E+03,1.4419
2,3.00E+00,4.27E+02,-3.95E+03,1.4413
2,4.00E+00,4.27E+02,-5.27E+03,-0.0882534
3,4,3.16E+02,-8.80E+03,-0.0882446
3,5,3.16E+02,-9.71E+03,0.151009
4,5,2.39E+02,-1.19E+04,0.150897
4,2,2.39E+02,-1.24E+04,0.320857
5,2,1.11E+01,-5.21E+03,0.305775
5,11,1.11E+01,-6.85E+03,-0.114745
6,11,7.84E+01,-1.32E+04,-0.114335
6,12,7.84E+01,-1.36E+04,-0.115553
7,12,9.69E+01,-9.51E+03,-0.115596
7,13,9.69E+01,-7.94E+03,-0.0959311
8,13,5.10E+01,4.00E+03,-0.0963973
8,10,5.10E+01,5.99E+03,0.330308
9,10,3.30E+02,-2.48E+04,0.0201357
9,19,3.30E+02,-2.43E+04,0.025283
10,1.90E+01,4.28E+02,-2.01E+04,0.0252996
10,2.00E+01,4.28E+02,-1.91E+04,8.68E-03
11,2.00E+01,5.71E+02,-1.21E+04,8.69E-03
11,2.10E+01,5.71E+02,-1.05E+04,0.176972
12,2.10E+01,7.77E+02,644.626,0.177089
12,1.80E+01,7.77E+02,3.25E+03,-0.186447
13,18,1.98E+02,8.06E+03,-2.75856
13,26,1.98E+02,3.95E+03,1.62876
14,26,6.21E-01,-6.96E+03,1.62765
14,27,6.21E-01,-9.36E+03,-0.508765
15,27,2.42E+01,-1.18E+04,-0.508608
15,28,2.42E+01,-1.12E+04,1.28502
16,28,2.69E+02,-4.54E+03,1.28606
16,1,2.69E+02,-1.68E+03,-2.36562
33,2,1.92E+02,-1.17E+04,0.015004
33,43,1.92E+02,-1.06E+04,0.40037
34,43,1.75E+02,-6.99E+03,0.400345
34,44,1.75E+02,-5.38E+03,-0.0948948
35,44,1.88E+02,-442.271,-0.0950381
35,45,1.88E+02,1.59E+03,3.34442
36,45,2.43E+02,7.92E+03,3.34542
36,42,2.43E+02,1.04E+04,-7.42066
37,42,3.43E+02,-4.00E+03,0.116794
37,51,3.43E+02,-7.13E+03,-0.0495246
38,51,1.32E+02,-1.78E+04,-0.049385
38,52,1.32E+02,-1.82E+04,-0.0110363
