Element,Node,Fx[N],My[N.m],Mz[N.m]
1,1,1.48E+03,7.01E+03,-5.89456
1,3,1.48E+03,2.49E+03,3.56884
2,3,1.07E+03,-9.93E+03,3.56735
2,4,1.07E+03,-1.32E+04,-0.226416
3,4,793.731,-2.21E+04,-0.226395
3,5,793.731,-2.44E+04,0.370594
4,5,602.651,-2.99E+04,0.370315
4,2,602.651,-3.11E+04,0.787831
5,2,27.4411,-1.30E+04,0.754896
5,11,27.4411,-1.71E+04,-0.281056
6,11,195.709,-3.31E+04,-0.280044
6,12,195.709,-3.40E+04,-0.282778
7,12,240.41,-2.37E+04,-0.282878
7,13,240.41,-1.98E+04,-0.233826
8,13,124.412,1.00E+04,-0.234952
8,10,124.412,1.50E+04,0.795819
9,10,814.133,-6.19E+04,0.0559698
9,19,814.133,-6.07E+04,0.0678901
10,19,1.05E+03,-5.05E+04,0.0679307
10,20,1.05E+03,-4.77E+04,0.0239746
11,20,1.40E+03,-3.05E+04,0.0239875
11,21,1.40E+03,-2.65E+04,0.472751
12,21,1.91E+03,1.32E+03,0.473059
12,18,1.91E+03,7.80E+03,-0.500289
13,18,487.674,2.01E+04,-6.79114
13,26,487.674,9.88E+03,4.00789
14,26,1.86866,-1.74E+04,4.00517
14,27,1.86866,-2.34E+04,-1.26049
15,27,59.2952,-2.95E+04,-1.26012
15,28,59.2952,-2.81E+04,3.20575
16,28,666.847,-1.14E+04,3.20832
16,1,666.847,-4.21E+03,-5.88519
33,2,488.053,-2.95E+04,0.0327393
33,43,488.053,-2.66E+04,0.98307
34,43,446.185,-1.77E+04,0.983007
34,44,446.185,-1.37E+04,-0.239743
35,44,480.495,-1.41E+03,-0.240096
35,45,480.495,3.66E+03,8.22151
36,45,620.902,1.94E+04,8.22397
36,42,620.902,2.57E+04,-18.291
37,42,845.186,-1.01E+04,0.24015
37,51,845.186,-1.78E+04,-0.0784664
38,51,325.96,-4.44E+04,-0.0781536
38,52,325.96,-4.53E+04,-0.0505885
39,52,258.831,-3.46E+04,-0.0505975
39,53,258.831,-3.01E+04,-0.0362721
40,53,271.803,2.06E+04,-0.036456
40,50,271.803,3.22E+04,0.133257
41,10,660.428,-5.70E+04,-0.0667265
41,58,660.428,-5.37E+04,-0.0812356
42,58,565.077,-3.32E+04,-0.0813002
42,59,565.077,-2.83E+04,0.0272973
43,59,499.5,395.174,0.027318
43,60,499.5,6.75E+03,-0.889637
44,60,457.417,4.72E+04,-0.890213
44,50,457.417,5.63E+04,1.95118
61,42,649.645,2.65E+04,-18.5379
61,75,649.645,2.11E+04,8.25304
62,75,440.459,7.34E+03,8.25043
62,76,440.459,3.04E+03,-0.193621
63,76,331.011,-7.41E+03,-0.193345
63,77,331.011,-1.07E+04,1.0177
64,77,284.392,-1.81E+04,1.01757
64,74,284.392,-2.02E+04,0.54031
65,74,8.67531,-1.51E+04,-8.82E-03
65,83,8.67531,-1.97E+04,4.16E-03
66,83,113.989,-3.76E+04,4.15E-03
66,84,113.989,-3.84E+04,2.67E-03
67,84,185.685,-2.61E+04,2.67E-03
67,85,185.685,-2.16E+04,2.66E-03
68,85,184.962,1.22E+04,2.68E-03
68,82,184.962,1.77E+04,-0.0111837
69,50,438.977,5.70E+04,1.94478
69,90,438.977,4.89E+04,-0.888538
70,90,422.691,1.31E+04,-0.88796
70,91,422.691,7.66E+03,0.0263868
71,91,415.758,-1.66E+04,0.0263739
71,92,415.758,-2.07E+04,-0.083102
72,92,412.214,-3.71E+04,-0.0830329
72,82,412.214,-3.95E+04,-0.0625273
89,74,285.695,-2.01E+04,0.549131
89,107,285.695,-1.78E+04,1.01426
90,107,335.127,-1.02E+04,1.0144
90,108,335.127,-6.78E+03,-0.200023
91,108,448.079,3.96E+03,-0.2003
91,109,448.079,8.37E+03,8.25412
92,109,662.009,2.24E+04,8.25673
92,106,662.009,2.80E+04,-18.5994
93,106,847.981,-1.01E+04,-0.288185
93,115,847.981,-1.79E+04,0.125541
94,115,325.459,-4.45E+04,0.125198
94,116,325.459,-4.53E+04,0.0299048
95,116,256.951,-3.46E+04,0.0299235
95,117,256.951,-3.00E+04,0.0817488
96,117,266.168,2.09E+04,0.0819986
96,114,266.168,3.26E+04,-0.214663
97,82,414.154,-3.93E+04,-0.0638211
97,122,414.154,-3.68E+04,-0.0785355
98,122,421.933,-2.01E+04,-0.0786015
98,123,421.933,-1.60E+04,0.023039
99,123,434.259,8.63E+03,0.0230484
99,124,434.259,1.42E+04,-0.827205
100,124,458.108,5.04E+04,-0.827746
100,114,458.108,5.86E+04,1.81736
117,106,584.576,2.69E+04,-18.3171
117,139,584.576,2.06E+04,8.25749
118,139,446.733,4.69E+03,8.25503
118,140,446.733,-433.052,-0.231883
119,140,412.878,-1.29E+04,-0.231531
119,141,412.878,-1.69E+04,0.986012
120,141,453.315,-2.60E+04,0.986067
120,138,453.315,-2.89E+04,0.0599052
121,138,28.1711,-1.30E+04,-0.731082
121,147,28.1711,-1.71E+04,0.274475
122,147,192.316,-3.30E+04,0.273494
122,148,192.316,-3.38E+04,0.278047
123,148,238.836,-2.35E+04,0.27815
123,149,238.836,-1.95E+04,0.230896
124,149,127.872,1.04E+04,0.232022
124,146,127.872,1.54E+04,-0.799784
125,114,430.602,5.75E+04,1.8047
