Element, Line
1, 53
2, 53
3, 53
4, 53
5, 41
6, 41
7, 41
8, 41
9, 59
10, 59
11, 59
12, 59
13, 5
14, 5
15, 5
16, 5
17, 3
18, 3
19, 3
20, 3
21, 3
22, 3
23, 3
24, 3
25, 3
26, 3
27, 3
28, 3
29, 3
30, 3
31, 3
32, 3
33, 54
34, 54
35, 54
36, 54
37, 6
38, 6
39, 6
40, 6
41, 62
42, 62
43, 62
44, 62
45, 4
46, 4
47, 4
48, 4
49, 4
50, 4
51, 4
52, 4
53, 4
54, 4
55, 4
56, 4
57, 4
58, 4
59, 4
60, 4
61, 55
62, 55
63, 55
64, 55
65, 42
66, 42
67, 42
68, 42
69, 66
70, 66
71, 66
72, 66
73, 5
74, 5
75, 5
76, 5
77, 5
78, 5
79, 5
80, 5
81, 5
82, 5
83, 5
84, 5
85, 5
86, 5
87, 5
88, 5
89, 56
90, 56
91, 56
92, 56
93, 7
94, 7
95, 7
96, 7
97, 70
98, 70
99, 70
100, 70
101, 6
102, 6
103, 6
104, 6
105, 6
106, 6
107, 6
108, 6
109, 6
110, 6
111, 6
112, 6
113, 6
114, 6
115, 6
116, 6
117, 57
118, 57
119, 57
120, 57
121, 43
122, 43
123, 43
124, 43
125, 74
126, 74
127, 74
128, 74
129, 7
130, 7
131, 7
132, 7
133, 7
134, 7
135, 7
136, 7
137, 7
138, 7
139, 7
140, 7
141, 7
142, 7
143, 7
144, 7
145, 58
146, 58
147, 58
148, 58
149, 8
150, 8
151, 8
152, 8
153, 78
154, 78
155, 78
156, 78
157, 8
158, 8
159, 8
160, 8
161, 8
162, 8
163, 8
164, 8
165, 8
166, 8
167, 8
168, 8
169, 8
170, 8
171, 8
172, 8
173, 44
174, 44
175, 44
176, 44
177, 81
178, 81
179, 81
180, 81
181, 29
182, 29
183, 29
184, 29
185, 9
186, 9
187, 9
188, 9
189, 9
190, 9
191, 9
192, 9
193, 9
194, 9
195, 9
196, 9
197, 9
198, 9
199, 9
200, 9
201, 30
202, 30
203, 30
204, 30
205, 84
206, 84
207, 84
208, 84
209, 10
210, 10
211, 10
212, 10
213, 10
214, 10
215, 10
216, 10
217, 10
218, 10
219, 10
220, 10
221, 10
222, 10
223, 10
224, 10
225, 45
226, 45
227, 45
228, 45
229, 87
230, 87
231, 87
232, 87
233, 11
234, 11
235, 11
236, 11
237, 11
238, 11
239, 11
240, 11
241, 11
242, 11
243, 11
244, 11
245, 11
246, 11
247, 11
248, 11
249, 31
250, 31
251, 31
252, 31
253, 90
254, 90
255, 90
256, 90
257, 12
258, 12
259, 12
260, 12
261, 12
262, 12
263, 12
264, 12
265, 12
266, 12
267, 12
268, 12
269, 12
270, 12
271, 12
272, 12
273, 46
274, 46
275, 46
276, 46
277, 93
278, 93
279, 93
